stage,group_seed,family,scramble,method,error_type,message
pilot,0,ill_conditioned,15,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,15,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,16,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,16,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,16,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,17,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,17,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,17,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,18,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,18,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,18,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,19,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,19,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,19,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,0,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,0,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,0,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,1,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,1,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,1,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,2,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,2,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,2,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,3,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,3,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,3,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,4,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,4,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,4,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,8,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,8,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,8,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,10,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,10,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,10,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,11,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,11,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,11,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,12,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,12,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,12,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,14,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,14,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,14,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,15,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,15,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,15,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,16,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,16,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,16,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,17,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,17,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,17,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,18,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,18,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,1,ill_conditioned,18,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,0,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,0,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,0,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,1,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,1,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,1,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,2,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,2,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,2,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,3,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,3,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,3,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,4,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,4,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,4,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,5,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,5,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,5,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,6,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,6,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,6,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,9,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,9,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,9,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,11,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,11,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,11,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,13,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,13,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,13,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,14,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,14,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,14,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,16,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,16,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,16,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,18,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,18,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,18,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,19,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,19,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,2,ill_conditioned,19,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
