summary_type,method,included,n_rows,reason,scope,target,predictor,claim_status,support_scope,note,selector,n_unique_seeds,mean_test_accuracy,mean_test_loss,paired_mean_accuracy_delta_vs_greedy_soup,paired_accuracy_delta_vs_greedy_soup_ci_low,paired_accuracy_delta_vs_greedy_soup_ci_high,paired_mean_accuracy_delta_vs_single_best_model,paired_accuracy_delta_vs_single_best_model_ci_low,paired_accuracy_delta_vs_single_best_model_ci_high,false_challenger_count,n_challenger_selections,false_challenger_rate,false_challenger_rate_all_rows,no_merge_selection_rate,extra_capacity_selection_rate,single_model_selection_rate,greedy_selection_rate,claim_decision,dataset,architecture,n_models,width,domain_shift,matching,selected_method,n_selected,selection_fraction,extra_capacity,no_merge
selector_fixed_setting,,,30.0,,fashion_mnist_mlp2_N4_W128_none_activation,,,,,,logistic_or_tree_selector,30.0,0.8334133333333333,0.47771017681598665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,fashion_mnist,mlp2,4.0,128.0,none,activation,,,,,
selector_fixed_setting,,,30.0,,fashion_mnist_mlp2_N4_W128_none_activation,,,,,,obstruction_rule_selector,30.0,0.8334133333333333,0.47771017681598665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,fashion_mnist,mlp2,4.0,128.0,none,activation,,,,,
selector_fixed_setting,,,30.0,,mnist_mlp2_N3_W128_input_noise_activation,,,,,,best_validation_selector,30.0,0.9260066666666666,0.2543267402633031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,mnist,mlp2,3.0,128.0,input_noise,activation,,,,,
selector_fixed_setting,,,30.0,,mnist_mlp2_N3_W128_input_noise_activation,,,,,,conservative_lcb_selector,30.0,0.9260066666666666,0.2543267402633031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,mnist,mlp2,3.0,128.0,input_noise,activation,,,,,
selector_fixed_setting,,,30.0,,mnist_mlp2_N3_W128_input_noise_activation,,,,,,greedy_baseline_selector,30.0,0.9260066666666666,0.2543267402633031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,mnist,mlp2,3.0,128.0,input_noise,activation,,,,,
selector_fixed_setting,,,30.0,,mnist_mlp2_N3_W128_input_noise_activation,,,,,,logistic_or_tree_selector,30.0,0.9260066666666666,0.2543267402633031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,mnist,mlp2,3.0,128.0,input_noise,activation,,,,,
selector_fixed_setting,,,30.0,,mnist_mlp2_N3_W128_input_noise_activation,,,,,,obstruction_rule_selector,30.0,0.9260066666666666,0.2543267402633031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,mnist,mlp2,3.0,128.0,input_noise,activation,,,,,
selector_fixed_setting,,,30.0,,mnist_mlp2_N3_W128_none_activation,,,,,,best_validation_selector,30.0,0.9314399999999999,0.23774068233410514,-0.00028000000000000247,-0.0006333333333333413,-1.3333333333335566e-05,-0.00032000000000000176,-0.0006801666666666729,-3.333333333333336e-05,4.0,5.0,0.8,0.13333333333333333,0.03333333333333333,0.13333333333333333,0.8666666666666667,0.8333333333333334,negative_does_not_beat_greedy,mnist,mlp2,3.0,128.0,none,activation,,,,,
selector_fixed_setting,,,30.0,,mnist_mlp2_N3_W128_none_activation,,,,,,conservative_lcb_selector,30.0,0.9317199999999998,0.23607884526093798,0.0,0.0,0.0,-3.99999999999993e-05,-0.00011333333333333196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,mnist,mlp2,3.0,128.0,none,activation,,,,,
selector_fixed_setting,,,30.0,,mnist_mlp2_N3_W128_none_activation,,,,,,greedy_baseline_selector,30.0,0.9317199999999998,0.23607884526093798,0.0,0.0,0.0,-3.99999999999993e-05,-0.00011333333333333196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,mnist,mlp2,3.0,128.0,none,activation,,,,,
selector_fixed_setting,,,30.0,,mnist_mlp2_N3_W128_none_activation,,,,,,logistic_or_tree_selector,30.0,0.9317199999999998,0.23607884526093798,0.0,0.0,0.0,-3.99999999999993e-05,-0.00011333333333333196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,mnist,mlp2,3.0,128.0,none,activation,,,,,
selector_fixed_setting,,,30.0,,mnist_mlp2_N3_W128_none_activation,,,,,,obstruction_rule_selector,30.0,0.9317199999999998,0.23607884526093798,0.0,0.0,0.0,-3.99999999999993e-05,-0.00011333333333333196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,mnist,mlp2,3.0,128.0,none,activation,,,,,
selector_fixed_setting,,,30.0,,mnist_mlp2_N4_W128_input_noise_activation,,,,,,best_validation_selector,30.0,0.9263066666666666,0.25364033350070314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,mnist,mlp2,4.0,128.0,input_noise,activation,,,,,
selector_fixed_setting,,,30.0,,mnist_mlp2_N4_W128_input_noise_activation,,,,,,conservative_lcb_selector,30.0,0.9263066666666666,0.25364033350070314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,mnist,mlp2,4.0,128.0,input_noise,activation,,,,,
selector_fixed_setting,,,30.0,,mnist_mlp2_N4_W128_input_noise_activation,,,,,,greedy_baseline_selector,30.0,0.9263066666666666,0.25364033350070314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,mnist,mlp2,4.0,128.0,input_noise,activation,,,,,
selector_fixed_setting,,,30.0,,mnist_mlp2_N4_W128_input_noise_activation,,,,,,logistic_or_tree_selector,30.0,0.9263066666666666,0.25364033350070314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,mnist,mlp2,4.0,128.0,input_noise,activation,,,,,
selector_fixed_setting,,,30.0,,mnist_mlp2_N4_W128_input_noise_activation,,,,,,obstruction_rule_selector,30.0,0.9263066666666666,0.25364033350070314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,mnist,mlp2,4.0,128.0,input_noise,activation,,,,,
selector_fixed_setting,,,30.0,,mnist_mlp2_N4_W128_none_activation,,,,,,best_validation_selector,30.0,0.9326533333333333,0.2337027107453346,0.00012666666666666753,0.0,0.0003666666666666707,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.06666666666666667,0.0,1.0,0.9333333333333333,descriptive_positive_mean_ci_crosses_zero,mnist,mlp2,4.0,128.0,none,activation,,,,,
selector_fixed_setting,,,30.0,,mnist_mlp2_N4_W128_none_activation,,,,,,conservative_lcb_selector,30.0,0.9325266666666667,0.23439810213883713,0.0,0.0,0.0,-0.00012666666666666753,-0.0003666666666666707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,mnist,mlp2,4.0,128.0,none,activation,,,,,
selector_fixed_setting,,,30.0,,mnist_mlp2_N4_W128_none_activation,,,,,,greedy_baseline_selector,30.0,0.9325266666666667,0.23439810213883713,0.0,0.0,0.0,-0.00012666666666666753,-0.0003666666666666707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,mnist,mlp2,4.0,128.0,none,activation,,,,,
selector_fixed_setting,,,30.0,,mnist_mlp2_N4_W128_none_activation,,,,,,logistic_or_tree_selector,30.0,0.9325266666666667,0.23439810213883713,0.0,0.0,0.0,-0.00012666666666666753,-0.0003666666666666707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,mnist,mlp2,4.0,128.0,none,activation,,,,,
selector_fixed_setting,,,30.0,,mnist_mlp2_N4_W128_none_activation,,,,,,obstruction_rule_selector,30.0,0.9325266666666667,0.23439810213883713,0.0,0.0,0.0,-0.00012666666666666753,-0.0003666666666666707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,mnist,mlp2,4.0,128.0,none,activation,,,,,
selected_method_frequency,,,,,overall,,,,,,best_validation_selector,,0.8952666666666667,,,,,,,,,,,,,,,,,,,,,,,c2m3_cluster_branch_ensemble_2,3.0,0.0125,True,False
selected_method_frequency,,,,,overall,,,,,,best_validation_selector,,0.8784034632034632,,,,,,,,,,,,,,,,,,,,,,,greedy_soup,231.0,0.9625,False,False
selected_method_frequency,,,,,overall,,,,,,best_validation_selector,,0.907,,,,,,,,,,,,,,,,,,,,,,,single_best_model,4.0,0.016666666666666666,False,True
selected_method_frequency,,,,,overall,,,,,,best_validation_selector,,0.9298,,,,,,,,,,,,,,,,,,,,,,,twisted_rank_lift_2,2.0,0.008333333333333333,True,False
selected_method_frequency,,,,,overall,,,,,,conservative_lcb_selector,,0.8795166666666667,,,,,,,,,,,,,,,,,,,,,,,greedy_soup,240.0,1.0,False,False
selected_method_frequency,,,,,overall,,,,,,greedy_baseline_selector,,0.8795166666666667,,,,,,,,,,,,,,,,,,,,,,,greedy_soup,240.0,1.0,False,False
selected_method_frequency,,,,,overall,,,,,,logistic_or_tree_selector,,0.8795166666666667,,,,,,,,,,,,,,,,,,,,,,,greedy_soup,240.0,1.0,False,False
selected_method_frequency,,,,,overall,,,,,,obstruction_rule_selector,,0.828,,,,,,,,,,,,,,,,,,,,,,,c2m3_cluster_branch_ensemble_2,1.0,0.004166666666666667,True,False
selected_method_frequency,,,,,overall,,,,,,obstruction_rule_selector,,0.8797280334728034,,,,,,,,,,,,,,,,,,,,,,,greedy_soup,239.0,0.9958333333333333,False,False
