setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,group_order,group_status,group_exactness,generator_count,group_exponent,holonomy_order,period_like_order,is_abelian,is_noncentral_holonomy,center_size,commutator_subgroup_size,abelianization_size,element_order_histogram,noncentral_holonomy_score,orbit_sizes_json,small_quotients_json
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4205,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4205,513,truncated_max_group_order,truncated,4,,390,390,,True,,,,{},0.9596345332990055,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4205,fashion_mnist,mlp,3,64,none,monomial_activation,4205,513,truncated_max_group_order,truncated,4,,46,46,,True,,,,{},0.9682458365518543,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4206,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4206,513,truncated_max_group_order,truncated,4,,1050,1050,,True,,,,{},0.9900629320275555,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4206,fashion_mnist,mlp,3,64,none,monomial_activation,4206,513,truncated_max_group_order,truncated,4,,312,312,,True,,,,{},0.9721462643938925,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4207,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4207,513,truncated_max_group_order,truncated,4,,222,222,,True,,,,{},0.9757809372497497,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4207,fashion_mnist,mlp,3,64,none,monomial_activation,4207,513,truncated_max_group_order,truncated,4,,246,246,,True,,,,{},0.9596345332990055,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4208,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4208,513,truncated_max_group_order,truncated,4,,288,288,,True,,,,{},0.9721462643938925,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4208,fashion_mnist,mlp,3,64,none,monomial_activation,4208,513,truncated_max_group_order,truncated,4,,6006,6006,,True,,,,{},0.9640764281813968,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4209,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4209,513,truncated_max_group_order,truncated,4,,348,348,,True,,,,{},0.9596345332990055,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4209,fashion_mnist,mlp,3,64,none,monomial_activation,4209,513,truncated_max_group_order,truncated,4,,258,258,,True,,,,{},0.9757809372497497,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4210,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4210,513,truncated_max_group_order,truncated,4,,420,420,,True,,,,{},0.9791528146183311,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4210,fashion_mnist,mlp,3,64,none,monomial_activation,4210,513,truncated_max_group_order,truncated,4,,560,560,,True,,,,{},0.9851187666342571,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4211,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4211,513,truncated_max_group_order,truncated,4,,1026,1026,,True,,,,{},0.9757809372497497,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4211,fashion_mnist,mlp,3,64,none,monomial_activation,4211,513,truncated_max_group_order,truncated,4,,30,30,,True,,,,{},0.9499177595981665,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4212,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4212,513,truncated_max_group_order,truncated,4,,280,280,,True,,,,{},0.9757809372497497,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4212,fashion_mnist,mlp,3,64,none,monomial_activation,4212,513,truncated_max_group_order,truncated,4,,460,460,,True,,,,{},0.9721462643938925,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4213,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4213,513,truncated_max_group_order,truncated,4,,570,570,,True,,,,{},0.9851187666342571,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4213,fashion_mnist,mlp,3,64,none,monomial_activation,4213,513,truncated_max_group_order,truncated,4,,150,150,,True,,,,{},0.9851187666342571,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4214,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4214,513,truncated_max_group_order,truncated,4,,390,390,,True,,,,{},0.9900629320275555,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4214,fashion_mnist,mlp,3,64,none,monomial_activation,4214,513,truncated_max_group_order,truncated,4,,696,696,,True,,,,{},0.9877175393299442,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4215,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4215,513,truncated_max_group_order,truncated,4,,2244,2244,,True,,,,{},0.9851187666342571,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4215,fashion_mnist,mlp,3,64,none,monomial_activation,4215,513,truncated_max_group_order,truncated,4,,132,132,,True,,,,{},0.982264602843857,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4216,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4216,513,truncated_max_group_order,truncated,4,,48,48,,True,,,,{},0.9596345332990055,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4216,fashion_mnist,mlp,3,64,none,monomial_activation,4216,513,truncated_max_group_order,truncated,4,,420,420,,True,,,,{},0.9851187666342571,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4217,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4217,513,truncated_max_group_order,truncated,4,,252,252,,True,,,,{},0.982264602843857,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4217,fashion_mnist,mlp,3,64,none,monomial_activation,4217,513,truncated_max_group_order,truncated,4,,48,48,,True,,,,{},0.9877175393299442,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4218,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4218,513,truncated_max_group_order,truncated,4,,4590,4590,,True,,,,{},0.9921567416492215,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4218,fashion_mnist,mlp,3,64,none,monomial_activation,4218,513,truncated_max_group_order,truncated,4,,396,396,,True,,,,{},0.9721462643938925,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4219,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4219,513,truncated_max_group_order,truncated,4,,300,300,,True,,,,{},0.9757809372497497,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4219,fashion_mnist,mlp,3,64,none,monomial_activation,4219,513,truncated_max_group_order,truncated,4,,84,84,,True,,,,{},0.9877175393299442,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4220,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4220,513,truncated_max_group_order,truncated,4,,36,36,,True,,,,{},0.9757809372497497,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4220,fashion_mnist,mlp,3,64,none,monomial_activation,4220,513,truncated_max_group_order,truncated,4,,528,528,,True,,,,{},0.9791528146183311,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4221,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4221,513,truncated_max_group_order,truncated,4,,132,132,,True,,,,{},0.9921567416492215,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4221,fashion_mnist,mlp,3,64,none,monomial_activation,4221,513,truncated_max_group_order,truncated,4,,164,164,,True,,,,{},0.9721462643938925,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4222,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4222,513,truncated_max_group_order,truncated,4,,376,376,,True,,,,{},0.9900629320275555,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4222,fashion_mnist,mlp,3,64,none,monomial_activation,4222,513,truncated_max_group_order,truncated,4,,4290,4290,,True,,,,{},0.982264602843857,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4223,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4223,513,truncated_max_group_order,truncated,4,,456,456,,True,,,,{},0.9682458365518543,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4223,fashion_mnist,mlp,3,64,none,monomial_activation,4223,513,truncated_max_group_order,truncated,4,,348,348,,True,,,,{},0.9851187666342571,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4224,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4224,513,truncated_max_group_order,truncated,4,,36,36,,True,,,,{},0.9549163494123452,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4224,fashion_mnist,mlp,3,64,none,monomial_activation,4224,513,truncated_max_group_order,truncated,4,,84,84,,True,,,,{},0.9757809372497497,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4225,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4225,513,truncated_max_group_order,truncated,4,,1980,1980,,True,,,,{},0.9757809372497497,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4225,fashion_mnist,mlp,3,64,none,monomial_activation,4225,513,truncated_max_group_order,truncated,4,,840,840,,True,,,,{},0.9682458365518543,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4226,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4226,513,truncated_max_group_order,truncated,4,,2070,2070,,True,,,,{},0.9791528146183311,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4226,fashion_mnist,mlp,3,64,none,monomial_activation,4226,513,truncated_max_group_order,truncated,4,,630,630,,True,,,,{},0.9877175393299442,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4227,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4227,513,truncated_max_group_order,truncated,4,,258,258,,True,,,,{},0.982264602843857,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4227,fashion_mnist,mlp,3,64,none,monomial_activation,4227,513,truncated_max_group_order,truncated,4,,580,580,,True,,,,{},0.9596345332990055,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4228,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4228,513,truncated_max_group_order,truncated,4,,240,240,,True,,,,{},0.9596345332990055,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4228,fashion_mnist,mlp,3,64,none,monomial_activation,4228,513,truncated_max_group_order,truncated,4,,660,660,,True,,,,{},0.982264602843857,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4229,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4229,513,truncated_max_group_order,truncated,4,,90,90,,True,,,,{},0.9757809372497497,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4229,fashion_mnist,mlp,3,64,none,monomial_activation,4229,513,truncated_max_group_order,truncated,4,,462,462,,True,,,,{},0.9596345332990055,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_weight,4200,513,truncated_max_group_order,truncated,4,,45,45,,True,,,,{},0.9851187666342571,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_weight,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4200,fashion_mnist,mlp,3,64,none,monomial_weight,4200,513,truncated_max_group_order,truncated,4,,492,492,,True,,,,{},0.9940005580355576,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4201,fashion_mnist,mlp,3,64,input_noise,monomial_weight,4201,513,truncated_max_group_order,truncated,4,,1365,1365,,True,,,,{},0.9757809372497497,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_weight,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4201,fashion_mnist,mlp,3,64,none,monomial_weight,4201,513,truncated_max_group_order,truncated,4,,123,123,,True,,,,{},0.9640764281813968,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4202,fashion_mnist,mlp,3,64,input_noise,monomial_weight,4202,513,truncated_max_group_order,truncated,4,,54,54,,True,,,,{},0.9877175393299442,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_weight,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4202,fashion_mnist,mlp,3,64,none,monomial_weight,4202,513,truncated_max_group_order,truncated,4,,774,774,,True,,,,{},0.9921567416492215,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4203,fashion_mnist,mlp,3,64,input_noise,monomial_weight,4203,513,truncated_max_group_order,truncated,4,,420,420,,True,,,,{},0.9757809372497497,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_weight,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4203,fashion_mnist,mlp,3,64,none,monomial_weight,4203,513,truncated_max_group_order,truncated,4,,350,350,,True,,,,{},0.982264602843857,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4204,fashion_mnist,mlp,3,64,input_noise,monomial_weight,4204,513,truncated_max_group_order,truncated,4,,47,47,,True,,,,{},0.9640764281813968,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_weight,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4204,fashion_mnist,mlp,3,64,none,monomial_weight,4204,513,truncated_max_group_order,truncated,4,,1260,1260,,True,,,,{},0.9851187666342571,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4205,fashion_mnist,mlp,3,64,input_noise,monomial_weight,4205,513,truncated_max_group_order,truncated,4,,54,54,,True,,,,{},0.9955957701296244,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_weight,fashion_mnist_mlp_N3_W64_none_monomial_weight_seed4205,fashion_mnist,mlp,3,64,none,monomial_weight,4205,513,truncated_max_group_order,truncated,4,,46,46,,True,,,,{},0.9682458365518543,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_weight,fashion_mnist_mlp_N3_W64_input_noise_monomial_weight_seed4206,fashion_mnist,mlp,3,64,input_noise,monomial_weight,4206,513,truncated_max_group_order,truncated,4,,51,51,,True,,,,{},0.9791528146183311,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
